frame_idx,timestamp_sec,event,track_id
0,0.0,entry,1
0,0.0,entry,2
0,0.0,entry,3
0,0.0,entry,4
5,0.08379078483245149,entry,5
5,0.08379078483245149,entry,6
7,0.11730709876543209,entry,8
8,0.13406525573192238,exit,6
9,0.15082341269841268,exit,5
11,0.18433972663139328,exit,6
12,0.20109788359788358,entry,9
13,0.21785604056437388,exit,3
16,0.26813051146384476,entry,10
20,0.33516313932980596,exit,10
20,0.33516313932980596,exit,5
23,0.38543761022927686,exit,9
26,0.43571208112874776,entry,12
26,0.43571208112874776,entry,13
26,0.43571208112874776,exit,4
29,0.48598655202821867,exit,13
31,0.5195028659611992,exit,12
41,0.6870844356261022,exit,8
41,0.6870844356261022,exit,13
42,0.7038425925925925,exit,5
45,0.7541170634920634,entry,23
48,0.8043915343915343,entry,25
49,0.8211496913580246,exit,4
49,0.8211496913580246,exit,5
53,0.8881823192239858,exit,25
55,0.9216986331569664,exit,5
56,0.9384567901234567,entry,29
57,0.955214947089947,exit,25
58,0.9719731040564373,entry,31
60,1.0054894179894178,exit,25
60,1.0054894179894178,exit,29
61,1.0222475749559081,exit,5
63,1.0557638888888887,exit,31
65,1.0892802028218693,entry,33
65,1.0892802028218693,exit,31
68,1.1395546737213402,exit,2
68,1.1395546737213402,exit,5
70,1.1730709876543208,exit,1
70,1.1730709876543208,exit,2
72,1.2065873015873014,exit,5
73,1.2233454585537917,exit,31
78,1.3071362433862432,exit,2
79,1.3238944003527335,exit,5
82,1.3741688712522044,exit,2
84,1.407685185185185,entry,40
84,1.407685185185185,exit,31
86,1.4412014991181656,exit,31
87,1.457959656084656,entry,41
88,1.4747178130511462,entry,42
90,1.5082341269841268,exit,41
90,1.5082341269841268,exit,42
90,1.5082341269841268,exit,31
91,1.5249922839506171,exit,33
91,1.5249922839506171,exit,5
94,1.575266754850088,exit,33
94,1.575266754850088,exit,42
97,1.625541225749559,exit,42
98,1.6422993827160492,entry,46
99,1.6590575396825396,exit,41
99,1.6590575396825396,exit,42
101,1.6925738536155202,exit,41
105,1.7596064814814814,exit,40
108,1.8098809523809523,entry,47
109,1.8266391093474426,entry,48
109,1.8266391093474426,exit,46
110,1.8433972663139329,entry,49
111,1.8601554232804232,exit,47
118,1.9774625220458553,entry,52
127,2.1282859347442677,exit,25
130,2.1785604056437387,exit,23
133,2.2288348765432096,exit,23
137,2.2958675044091708,entry,54
142,2.3796582892416223,exit,31
149,2.4969653880070544,entry,57
153,2.5639980158730156,entry,60
156,2.6142724867724865,exit,60
157,2.6310306437389768,exit,57
161,2.698063271604938,entry,64
163,2.7315795855379186,exit,64
165,2.765095899470899,entry,65
169,2.8321285273368604,entry,66
169,2.8321285273368604,exit,54
170,2.8488866843033507,exit,65
176,2.9494356261022925,exit,48
193,3.2343242945326276,exit,60
195,3.267840608465608,entry,71
210,3.5192129629629627,entry,72
216,3.6197619047619045,entry,73
218,3.653278218694885,exit,72
222,3.7203108465608463,exit,72
223,3.7370690035273366,exit,54
224,3.753827160493827,exit,49
225,3.770585317460317,entry,75
226,3.7873434744268075,exit,54
228,3.820859788359788,exit,54
231,3.871134259259259,entry,80
231,3.871134259259259,exit,72
234,3.92140873015873,exit,72
234,3.92140873015873,exit,52
236,3.9549250440917105,entry,81
236,3.9549250440917105,exit,60
236,3.9549250440917105,exit,54
237,3.971683201058201,exit,72
239,4.005199514991181,exit,54
242,4.055473985890652,exit,60
245,4.105748456790123,exit,60
246,4.122506613756613,exit,80
248,4.156022927689594,exit,80
250,4.189539241622574,exit,80
251,4.206297398589065,exit,72
252,4.223055555555555,entry,88
252,4.223055555555555,exit,80
254,4.2565718694885355,entry,90
255,4.273330026455026,exit,80
257,4.306846340388007,exit,80
257,4.306846340388007,exit,66
260,4.357120811287477,exit,80
263,4.407395282186949,exit,88
264,4.4241534391534385,exit,71
265,4.440911596119929,entry,92
269,4.5079442239858905,entry,93
269,4.5079442239858905,exit,88
269,4.5079442239858905,exit,92
270,4.52470238095238,exit,93
276,4.625251322751322,entry,95
279,4.6755257936507935,exit,88
281,4.709042107583774,exit,88
288,4.826349206349206,exit,73
296,4.960414462081128,entry,99
299,5.0106889329805995,exit,99
303,5.077721560846561,entry,100
304,5.0944797178130505,exit,100
309,5.1782705026455025,entry,102
311,5.211786816578483,exit,75
316,5.295577601410934,entry,104
318,5.329093915343915,exit,104
319,5.3458520723104055,entry,105
320,5.362610229276895,entry,106
324,5.4296428571428565,exit,81
324,5.4296428571428565,exit,106
333,5.58046626984127,exit,88
338,5.664257054673721,exit,100
340,5.697773368606701,exit,100
345,5.781564153439153,entry,114
346,5.798322310405643,entry,115
348,5.831838624338624,exit,115
349,5.8485967813051145,exit,100
350,5.865354938271604,exit,115
351,5.882113095238095,exit,90
351,5.882113095238095,exit,100
355,5.949145723104056,exit,105
361,6.049694664902998,exit,105
362,6.066452821869488,exit,115
363,6.083210978835979,exit,105
374,6.267550705467372,entry,118
375,6.284308862433862,exit,118
379,6.3513414902998235,entry,119
379,6.3513414902998235,exit,115
382,6.401615961199294,exit,115
382,6.401615961199294,exit,118
383,6.418374118165785,exit,105
386,6.468648589065255,entry,120
387,6.485406746031746,exit,105
392,6.569197530864197,exit,100
394,6.602713844797178,exit,105
395,6.619472001763668,exit,115
396,6.636230158730158,exit,105
401,6.72002094356261,exit,95
403,6.753537257495591,exit,105
403,6.753537257495591,exit,115
405,6.787053571428571,entry,122
406,6.803811728395061,exit,115
407,6.820569885361552,exit,122
409,6.8540861992945326,exit,119
412,6.904360670194003,exit,119
413,6.921118827160494,exit,122
417,6.988151455026455,exit,122
428,7.172491181657848,exit,119
430,7.206007495590828,exit,119
432,7.239523809523809,exit,105
433,7.2562819664903,entry,123
434,7.27304012345679,exit,123
434,7.27304012345679,exit,119
438,7.340072751322751,exit,102
440,7.373589065255731,exit,102
443,7.423863536155203,exit,105
445,7.457379850088183,entry,125
447,7.490896164021164,exit,125
450,7.541170634920634,exit,125
451,7.557928791887125,exit,102
452,7.574686948853615,exit,105
453,7.591445105820106,exit,122
455,7.624961419753086,entry,126
455,7.624961419753086,exit,122
457,7.658477733686067,exit,105
458,7.675235890652557,exit,100
460,7.7087522045855374,exit,105
461,7.725510361552028,entry,127
462,7.742268518518518,exit,126
465,7.792542989417989,exit,100
466,7.809301146384479,exit,126
467,7.82605930335097,exit,102
470,7.8763337742504405,exit,122
471,7.893091931216931,exit,126
474,7.943366402116402,exit,122
476,7.976882716049382,entry,128
476,7.976882716049382,exit,126
476,7.976882716049382,exit,119
478,8.010399029982363,exit,128
480,8.043915343915343,exit,100
483,8.094189814814815,exit,128
484,8.110947971781304,entry,130
490,8.211496913580246,exit,127
491,8.228255070546737,exit,130
493,8.261771384479717,entry,135
495,8.295287698412698,entry,136
495,8.295287698412698,exit,130
495,8.295287698412698,exit,135
496,8.312045855379187,exit,127
497,8.328804012345678,exit,130
502,8.41259479717813,exit,135
503,8.42935295414462,exit,127
