frame_idx,timestamp_sec,track_id,x1,y1,x2,y2,confidence
0,0.0,1,98,350,157,522,0.8536203503608704
0,0.0,2,0,347,40,520,0.568743109703064
0,0.0,3,166,368,231,510,0.5611456036567688
0,0.0,4,337,358,363,436,0.5484438538551331
0,0.0,5,227,367,258,497,0.5030755400657654
0,0.0,6,148,366,184,485,0.49224773049354553
0,0.0,7,280,370,314,468,0.45841658115386963
0,0.0,8,255,369,289,466,0.44947823882102966
0,0.0,9,335,356,364,473,0.42974117398262024
1,0.016758156966490297,1,98,351,157,522,0.8597768545150757
1,0.016758156966490297,2,0,348,37,520,0.6038565635681152
1,0.016758156966490297,3,165,378,233,511,0.5808842182159424
1,0.016758156966490297,4,337,358,363,437,0.5614409446716309
1,0.016758156966490297,6,147,365,185,485,0.514359176158905
1,0.016758156966490297,5,227,367,258,498,0.49539196491241455
1,0.016758156966490297,7,280,370,314,465,0.472120463848114
1,0.016758156966490297,8,255,369,290,465,0.43270671367645264
1,0.016758156966490297,9,335,357,364,473,0.4318009316921234
2,0.033516313932980595,1,98,350,157,523,0.8508504033088684
2,0.033516313932980595,3,166,378,234,512,0.6040883660316467
2,0.033516313932980595,2,0,348,36,521,0.5588807463645935
2,0.033516313932980595,4,337,358,364,436,0.5498381853103638
2,0.033516313932980595,6,147,364,183,486,0.49597278237342834
2,0.033516313932980595,5,228,367,259,499,0.48047274351119995
2,0.033516313932980595,7,281,371,315,466,0.4408494234085083
2,0.033516313932980595,9,335,356,365,473,0.4006814956665039
2,0.033516313932980595,8,255,371,290,464,0.35976916551589966
3,0.050274470899470895,1,98,350,158,523,0.8358202576637268
3,0.050274470899470895,3,169,371,234,512,0.5981227159500122
3,0.050274470899470895,2,0,349,36,521,0.5742413401603699
3,0.050274470899470895,4,338,358,364,437,0.5518608093261719
3,0.050274470899470895,5,228,367,259,499,0.49015817046165466
3,0.050274470899470895,6,147,368,183,486,0.4888157546520233
3,0.050274470899470895,7,283,371,314,465,0.3183015286922455
3,0.050274470899470895,8,256,372,291,464,0.30934369564056396
4,0.06703262786596119,1,99,350,158,524,0.83280348777771
4,0.06703262786596119,2,0,349,38,521,0.6125925183296204
4,0.06703262786596119,4,338,359,365,438,0.602798581123352
4,0.06703262786596119,3,171,374,234,513,0.57140052318573
4,0.06703262786596119,5,229,368,260,500,0.5463457703590393
4,0.06703262786596119,6,147,369,183,487,0.5021933317184448
4,0.06703262786596119,10,46,385,94,494,0.4237500727176666
4,0.06703262786596119,9,336,358,365,475,0.3405854403972626
5,0.08379078483245149,1,101,353,157,524,0.8383845090866089
5,0.08379078483245149,2,0,349,39,521,0.6142152547836304
5,0.08379078483245149,3,171,371,233,513,0.5803584456443787
5,0.08379078483245149,4,339,359,365,438,0.5643104314804077
5,0.08379078483245149,5,229,368,259,500,0.5108965635299683
5,0.08379078483245149,9,337,357,365,476,0.48792821168899536
5,0.08379078483245149,6,148,371,187,494,0.481411337852478
5,0.08379078483245149,10,44,385,94,494,0.42707687616348267
5,0.08379078483245149,7,284,372,316,462,0.35448402166366577
5,0.08379078483245149,8,257,374,290,463,0.3509896397590637
6,0.10054894179894179,1,102,354,157,525,0.8420699238777161
6,0.10054894179894179,3,172,376,233,513,0.625006377696991
6,0.10054894179894179,2,0,349,40,522,0.5820335745811462
6,0.10054894179894179,9,337,359,365,476,0.552165150642395
6,0.10054894179894179,4,340,359,366,438,0.5437859892845154
6,0.10054894179894179,5,228,369,261,502,0.5418374538421631
6,0.10054894179894179,6,149,370,187,512,0.5114116072654724
6,0.10054894179894179,10,45,383,94,494,0.39656007289886475
6,0.10054894179894179,8,256,373,290,475,0.3718818128108978
6,0.10054894179894179,7,284,372,315,463,0.29292333126068115
7,0.11730709876543209,1,103,354,158,525,0.8338432312011719
7,0.11730709876543209,3,171,365,233,514,0.6955217719078064
7,0.11730709876543209,6,149,377,187,515,0.5679379105567932
7,0.11730709876543209,2,0,349,40,522,0.566780686378479
7,0.11730709876543209,9,338,358,366,477,0.5628836750984192
7,0.11730709876543209,5,227,369,261,502,0.5437374114990234
7,0.11730709876543209,4,340,359,367,439,0.535351037979126
7,0.11730709876543209,10,45,379,94,494,0.44642481207847595
7,0.11730709876543209,8,256,372,291,476,0.361814022064209
8,0.13406525573192238,1,103,354,160,525,0.8336243033409119
8,0.13406525573192238,3,170,365,234,514,0.7267596125602722
8,0.13406525573192238,2,0,350,41,522,0.5760601162910461
8,0.13406525573192238,4,341,359,367,439,0.5587599873542786
8,0.13406525573192238,6,149,373,189,513,0.533004641532898
8,0.13406525573192238,5,227,369,261,503,0.493187814950943
8,0.13406525573192238,9,339,359,367,476,0.45478078722953796
8,0.13406525573192238,10,43,366,94,495,0.40738004446029663
8,0.13406525573192238,8,256,372,292,480,0.2688727378845215
9,0.15082341269841268,1,103,354,160,525,0.8333337306976318
9,0.15082341269841268,3,170,364,234,514,0.7538814544677734
9,0.15082341269841268,6,149,372,188,512,0.5125988721847534
9,0.15082341269841268,9,339,359,367,476,0.4779254198074341
9,0.15082341269841268,5,227,369,261,502,0.4662960469722748
